MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
MA5500ifx;WDS3X13724;VICERRECTORIA ADMINISTRATIVA;MANCHAS EN IMP;3/02/2026;OS 4420774;3/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28185;VICERRECTORIA ADMINISTRATIVA ;RUIDO ;3/02/2026;OS 4420776;3/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802498;SERVICIOS GENERALES B2P2;LIMPIEZA Y MANTENIM.;5/02/2026;OS 4423668;5/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z27747;SERVICOS UNIVERSITARIOS B1P5;MANCHAS EN IMP;5/02/2026;OS 4423670;5/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655idn;R4P8916186;FACULTAD_CIENCIAS_ECO_B2P1;MANCHAS EN IMP;5/02/2026;OS 4423672;5/02/2026;CAMBIO DE CILINDRO ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28088;CANCHAS_SINTETICAS;LIMPIEZA Y PANEL DAÑADO;5/02/2026;OS 4423674;5/02/2026;CAMBIO DE PANEL X DAÑO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53787;GESTION_HUMANA_B3P1;MANCHAS EN IMP;5/02/2026;OS 4423676;5/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;MANCHAS IMPRESION;5/02/2026;OS 4423678;5/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28084;CLINICAV_INSUMOS_P4;CONFIGURACION;10/02/2026;OS 4427844;10/02/2026;CONFIGURACION;PAMPALINDA;CAMACHO
M3145idn;R4V8802391;CLINICA VETERINARIA RECEPCION;CONFIGURACION;10/02/2026;OS 4428212;10/02/2026;CONFIGURACION;PAMPALINDA;CAMACHO
M3655idn;R4P8916485;FACULTAD DE EDUCACION;RAYAS EN IMPRESION;23/02/2026;OS 4439950;12/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28087;APARTAHOTEL_B5P4;RUIDO ;23/02/2026;OS 4439952;12/02/2026;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13721;COMPRAS Y SUMINISTROS;RAYAS EN IMPRESION;23/02/2026;OS 4439954;12/02/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145IDN;R4V8802495;CELOA;ATASCO FRECUENTE;4/03/2026;OS 4449210;4/03/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3145idn;R4V8802429;Dirección general;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
M3145idn;R4V8802422;Unidad de mercadeo;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
